Block_Number,Block_Label,Block_Duration_Minutes,Trial_Number,Sequence_Number,Trial_In_Sequence,Contrast,Delay,DiameterX,DiameterY,Duration,Orientation,Spatial_Frequency,Temporal_Frequency,X,Y,Phase,Trial_Type,Block_Type
1,Control block 1.1,6.4,59,0,0,1,0.343,360,360,0.343,270.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,60,0,0,1,0.343,360,360,0.343,90.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,61,0,0,1,0.343,360,360,0.343,157.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,62,0,0,1,0.343,360,360,0.343,270.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,63,0,0,1,0.343,360,360,0.343,22.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,64,0,0,1,0.343,360,360,0.343,225.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,65,0,0,1,0.343,360,360,0.343,180.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,66,0,0,1,0.343,360,360,0.343,135.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,67,0,0,1,0.343,360,360,0.343,225.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,68,0,0,1,0.343,360,360,0.343,0.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,69,0,0,1,0.343,360,360,0.343,45.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,70,0,0,1,0.343,360,360,0.343,67.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,71,0,0,1,0.343,360,360,0.343,90.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,72,0,0,0,0.343,360,360,0.343,0,0.04,2,0,0,0,omission,standard_control
1,Control block 1.1,6.4,73,0,0,1,0.343,360,360,0.343,90.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,74,0,0,1,0.343,360,360,0.343,0,0.04,0,0,0,0,halt,standard_control
1,Control block 1.1,6.4,75,0,0,1,0.343,360,360,0.343,45.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,76,0,0,1,0.343,360,360,0.343,180.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,77,0,0,1,0.343,360,360,0.343,135.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,78,0,0,1,0.343,360,360,0.343,67.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,79,0,0,1,0.343,360,360,0.343,270.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,80,0,0,1,0.343,360,360,0.343,0.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,81,0,0,1,0.343,360,360,0.343,45.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,82,0,0,1,0.343,360,360,0.343,67.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,83,0,0,1,0.343,360,360,0.343,67.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,84,0,0,1,0.343,360,360,0.343,0.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,85,0,0,1,0.343,360,360,0.343,157.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,86,0,0,1,0.343,360,360,0.343,0.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,87,0,0,1,0.343,360,360,0.343,157.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,88,0,0,0,0.343,360,360,0.343,0,0.04,2,0,0,0,omission,standard_control
1,Control block 1.1,6.4,89,0,0,1,0.343,360,360,0.343,135.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,90,0,0,1,0.343,360,360,0.343,225.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,91,0,0,1,0.343,360,360,0.343,247.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,92,0,0,1,0.343,360,360,0.343,157.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,93,0,0,1,0.343,360,360,0.343,180.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,94,0,0,1,0.343,360,360,0.343,0.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,95,0,0,1,0.343,360,360,0.343,270.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,96,0,0,1,0.343,360,360,0.343,45.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,97,0,0,1,0.343,360,360,0.343,157.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,98,0,0,1,0.343,360,360,0.343,45.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,99,0,0,1,0.343,360,360,0.343,112.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,100,0,0,1,0.343,360,360,0.343,292.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,101,0,0,1,0.343,360,360,0.343,225.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,102,0,0,1,0.343,360,360,0.343,45.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,103,0,0,1,0.343,360,360,0.343,135.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,104,0,0,1,0.343,360,360,0.343,225.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,105,0,0,0,0.343,360,360,0.343,0,0.04,2,0,0,0,omission,standard_control
1,Control block 1.1,6.4,106,0,0,1,0.343,360,360,0.343,157.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,107,0,0,1,0.343,360,360,0.343,157.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,108,0,0,1,0.343,360,360,0.343,157.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,109,0,0,0,0.343,360,360,0.343,0,0.04,2,0,0,0,omission,standard_control
1,Control block 1.1,6.4,110,0,0,1,0.343,360,360,0.343,247.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,111,0,0,1,0.343,360,360,0.343,247.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,112,0,0,1,0.343,360,360,0.343,90.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,113,0,0,1,0.343,360,360,0.343,112.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,114,0,0,1,0.343,360,360,0.343,202.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,115,0,0,1,0.343,360,360,0.343,135.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,116,0,0,1,0.343,360,360,0.343,112.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,117,0,0,1,0.343,360,360,0.343,225.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,118,0,0,1,0.343,360,360,0.343,0,0.04,0,0,0,0,halt,standard_control
1,Control block 1.1,6.4,119,0,0,1,0.343,360,360,0.343,112.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,120,0,0,1,0.343,360,360,0.343,270.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,121,0,0,1,0.343,360,360,0.343,202.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,122,0,0,1,0.343,360,360,0.343,157.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,123,0,0,0,0.343,360,360,0.343,0,0.04,2,0,0,0,omission,standard_control
1,Control block 1.1,6.4,124,0,0,1,0.343,360,360,0.343,22.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,125,0,0,1,0.343,360,360,0.343,0.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,126,0,0,1,0.343,360,360,0.343,90.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,127,0,0,1,0.343,360,360,0.343,90.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,128,0,0,1,0.343,360,360,0.343,67.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,129,0,0,1,0.343,360,360,0.343,180.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,130,0,0,1,0.343,360,360,0.343,67.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,131,0,0,1,0.343,360,360,0.343,292.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,132,0,0,1,0.343,360,360,0.343,225.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,133,0,0,1,0.343,360,360,0.343,0,0.04,0,0,0,0,halt,standard_control
1,Control block 1.1,6.4,134,0,0,1,0.343,360,360,0.343,67.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,135,0,0,1,0.343,360,360,0.343,67.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,136,0,0,1,0.343,360,360,0.343,135.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,137,0,0,1,0.343,360,360,0.343,247.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,138,0,0,1,0.343,360,360,0.343,90.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,139,0,0,1,0.343,360,360,0.343,202.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,140,0,0,1,0.343,360,360,0.343,67.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,141,0,0,1,0.343,360,360,0.343,180.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,142,0,0,1,0.343,360,360,0.343,247.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,143,0,0,1,0.343,360,360,0.343,202.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,144,0,0,1,0.343,360,360,0.343,112.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,145,0,0,1,0.343,360,360,0.343,0.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,146,0,0,1,0.343,360,360,0.343,225.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,147,0,0,1,0.343,360,360,0.343,247.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,148,0,0,1,0.343,360,360,0.343,0,0.04,0,0,0,0,halt,standard_control
1,Control block 1.1,6.4,149,0,0,1,0.343,360,360,0.343,157.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,150,0,0,1,0.343,360,360,0.343,225.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,151,0,0,1,0.343,360,360,0.343,247.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,152,0,0,1,0.343,360,360,0.343,67.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,153,0,0,1,0.343,360,360,0.343,67.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,154,0,0,1,0.343,360,360,0.343,67.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,155,0,0,1,0.343,360,360,0.343,22.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,156,0,0,1,0.343,360,360,0.343,22.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,157,0,0,1,0.343,360,360,0.343,22.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,158,0,0,1,0.343,360,360,0.343,270.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,159,0,0,1,0.343,360,360,0.343,202.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,160,0,0,1,0.343,360,360,0.343,0,0.04,0,0,0,0,halt,standard_control
1,Control block 1.1,6.4,161,0,0,0,0.343,360,360,0.343,0,0.04,2,0,0,0,omission,standard_control
1,Control block 1.1,6.4,162,0,0,1,0.343,360,360,0.343,90.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,163,0,0,1,0.343,360,360,0.343,45.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,164,0,0,1,0.343,360,360,0.343,270.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,165,0,0,1,0.343,360,360,0.343,45.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,166,0,0,1,0.343,360,360,0.343,292.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,167,0,0,1,0.343,360,360,0.343,292.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,168,0,0,1,0.343,360,360,0.343,0,0.04,0,0,0,0,halt,standard_control
1,Control block 1.1,6.4,169,0,0,1,0.343,360,360,0.343,157.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,170,0,0,1,0.343,360,360,0.343,292.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,171,0,0,1,0.343,360,360,0.343,90.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,172,0,0,1,0.343,360,360,0.343,90.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,173,0,0,0,0.343,360,360,0.343,0,0.04,2,0,0,0,omission,standard_control
1,Control block 1.1,6.4,174,0,0,1,0.343,360,360,0.343,180.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,175,0,0,1,0.343,360,360,0.343,0.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,176,0,0,1,0.343,360,360,0.343,180.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,177,0,0,1,0.343,360,360,0.343,0,0.04,0,0,0,0,halt,standard_control
1,Control block 1.1,6.4,178,0,0,1,0.343,360,360,0.343,180.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,179,0,0,1,0.343,360,360,0.343,112.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,180,0,0,1,0.343,360,360,0.343,67.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,181,0,0,1,0.343,360,360,0.343,0.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,182,0,0,1,0.343,360,360,0.343,90.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,183,0,0,1,0.343,360,360,0.343,0.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,184,0,0,1,0.343,360,360,0.343,22.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,185,0,0,1,0.343,360,360,0.343,202.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,186,0,0,1,0.343,360,360,0.343,22.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,187,0,0,1,0.343,360,360,0.343,45.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,188,0,0,1,0.343,360,360,0.343,202.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,189,0,0,1,0.343,360,360,0.343,0,0.04,0,0,0,0,halt,standard_control
1,Control block 1.1,6.4,190,0,0,1,0.343,360,360,0.343,292.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,191,0,0,1,0.343,360,360,0.343,45.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,192,0,0,1,0.343,360,360,0.343,292.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,193,0,0,1,0.343,360,360,0.343,270.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,194,0,0,1,0.343,360,360,0.343,0.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,195,0,0,1,0.343,360,360,0.343,22.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,196,0,0,1,0.343,360,360,0.343,157.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,197,0,0,1,0.343,360,360,0.343,202.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,198,0,0,1,0.343,360,360,0.343,292.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,199,0,0,1,0.343,360,360,0.343,67.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,200,0,0,1,0.343,360,360,0.343,157.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,201,0,0,1,0.343,360,360,0.343,0.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,202,0,0,1,0.343,360,360,0.343,112.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,203,0,0,1,0.343,360,360,0.343,247.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,204,0,0,1,0.343,360,360,0.343,202.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,205,0,0,1,0.343,360,360,0.343,90.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,206,0,0,1,0.343,360,360,0.343,135.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,207,0,0,1,0.343,360,360,0.343,247.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,208,0,0,1,0.343,360,360,0.343,0.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,209,0,0,1,0.343,360,360,0.343,202.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,210,0,0,1,0.343,360,360,0.343,67.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,211,0,0,1,0.343,360,360,0.343,0,0.04,0,0,0,0,halt,standard_control
1,Control block 1.1,6.4,212,0,0,1,0.343,360,360,0.343,292.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,213,0,0,1,0.343,360,360,0.343,270.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,214,0,0,1,0.343,360,360,0.343,225.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,215,0,0,1,0.343,360,360,0.343,225.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,216,0,0,1,0.343,360,360,0.343,292.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,217,0,0,0,0.343,360,360,0.343,0,0.04,2,0,0,0,omission,standard_control
1,Control block 1.1,6.4,218,0,0,1,0.343,360,360,0.343,157.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,219,0,0,1,0.343,360,360,0.343,0,0.04,0,0,0,0,halt,standard_control
1,Control block 1.1,6.4,220,0,0,1,0.343,360,360,0.343,270.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,221,0,0,0,0.343,360,360,0.343,0,0.04,2,0,0,0,omission,standard_control
1,Control block 1.1,6.4,222,0,0,1,0.343,360,360,0.343,0,0.04,0,0,0,0,halt,standard_control
1,Control block 1.1,6.4,223,0,0,0,0.343,360,360,0.343,0,0.04,2,0,0,0,omission,standard_control
1,Control block 1.1,6.4,224,0,0,1,0.343,360,360,0.343,247.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,225,0,0,1,0.343,360,360,0.343,0,0.04,0,0,0,0,halt,standard_control
1,Control block 1.1,6.4,226,0,0,1,0.343,360,360,0.343,270.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,227,0,0,1,0.343,360,360,0.343,0,0.04,0,0,0,0,halt,standard_control
1,Control block 1.1,6.4,228,0,0,1,0.343,360,360,0.343,112.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,229,0,0,1,0.343,360,360,0.343,225.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,230,0,0,1,0.343,360,360,0.343,135.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,231,0,0,1,0.343,360,360,0.343,112.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,232,0,0,1,0.343,360,360,0.343,135.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,233,0,0,1,0.343,360,360,0.343,90.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,234,0,0,1,0.343,360,360,0.343,180.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,235,0,0,0,0.343,360,360,0.343,0,0.04,2,0,0,0,omission,standard_control
1,Control block 1.1,6.4,236,0,0,1,0.343,360,360,0.343,67.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,237,0,0,1,0.343,360,360,0.343,0.0,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,238,0,0,1,0.343,360,360,0.343,22.5,0.04,2,0,0,0,single,standard_control
1,Control block 1.1,6.4,239,0,0,0,0.343,360,360,0.343,0,0.04,2,0,0,0,omission,standard_control
1,Control block 1.1,6.4,240,0,0,1,0.343,360,360,0.343,0,0.04,0,0,0,0,halt,standard_control
1,Control block 1.1,6.4,241,0,0,1,0.343,360,360,0.343,292.5,0.04,2,0,0,0,single,standard_control
